blk_no,street,max_floor_lvl,year_completed,bldg_contract_town,room_type,units,postal,latitude,longitude,town,country,population,town_latitude,town_longitude
235,BT BATOK EAST AVE 5,12,1984,BB,total_dwelling_units,179,650235,1.3487,103.7563,Bukit Batok,Singapore,139270,1.3494,103.7527
237,BT BATOK EAST AVE 5,4,1984,BB,total_dwelling_units,16,650237,1.3496,103.7553,Bukit Batok,Singapore,139270,1.3494,103.7527
3,JOO CHIAT RD,18,1985,GL,total_dwelling_units,108,420003,1.3152,103.8987,Geylang,Singapore,116960,1.3205559999999998,103.886944
4,JOO CHIAT RD,18,1985,GL,total_dwelling_units,108,420004,1.3152,103.8987,Geylang,Singapore,116960,1.3205559999999998,103.886944
170,BT BATOK WEST AVE 8,25,1985,BB,total_dwelling_units,144,650170,1.3466,103.7399,Bukit Batok,Singapore,139270,1.3494,103.7527
172,BT BATOK WEST AVE 8,25,1984,BB,total_dwelling_units,144,650172,1.3459,103.7406,Bukit Batok,Singapore,139270,1.3494,103.7527
253,YISHUN RING RD,12,1984,YS,total_dwelling_units,132,760253,1.4349,103.8406,Yishun,Singapore,210440,1.43621,103.83582
275,YISHUN ST 22,12,1984,YS,total_dwelling_units,114,760275,1.4377,103.8387,Yishun,Singapore,210440,1.43621,103.83582
276,YISHUN ST 22,12,1984,YS,total_dwelling_units,136,760276,1.4378,103.8381,Yishun,Singapore,210440,1.43621,103.83582
279,YISHUN ST 22,12,1984,YS,total_dwelling_units,114,760279,1.4382,103.837,Yishun,Singapore,210440,1.43621,103.83582
280,YISHUN ST 22,12,1984,YS,total_dwelling_units,114,760280,1.4385,103.837,Yishun,Singapore,210440,1.43621,103.83582
418,TAMPINES ST 41,12,1984,TAP,total_dwelling_units,132,520418,1.3585,103.9475,Tampines,Singapore,258310,1.36819,103.92948
420,TAMPINES ST 41,12,1984,TAP,total_dwelling_units,110,520420,1.358,103.9475,Tampines,Singapore,258310,1.36819,103.92948
421,TAMPINES ST 41,12,1984,TAP,total_dwelling_units,110,520421,1.3574,103.9475,Tampines,Singapore,258310,1.36819,103.92948
424,TAMPINES ST 41,12,1984,TAP,total_dwelling_units,110,520424,1.3575,103.9481,Tampines,Singapore,258310,1.36819,103.92948
444,TAMPINES ST 42,12,1984,TAP,total_dwelling_units,110,520444,1.3582,103.9514,Tampines,Singapore,258310,1.36819,103.92948
446,TAMPINES ST 42,12,1984,TAP,total_dwelling_units,110,520446,1.3578,103.95100000000001,Tampines,Singapore,258310,1.36819,103.92948
448,TAMPINES ST 42,12,1984,TAP,total_dwelling_units,110,520448,1.3575,103.95100000000001,Tampines,Singapore,258310,1.36819,103.92948
450,TAMPINES ST 42,12,1984,TAP,total_dwelling_units,110,520450,1.3574,103.9515,Tampines,Singapore,258310,1.36819,103.92948
720,YISHUN ST 71,12,1984,YS,total_dwelling_units,114,760720,1.4266,103.829,Yishun,Singapore,210440,1.43621,103.83582
721,YISHUN ST 71,12,1984,YS,total_dwelling_units,110,760721,1.426,103.829,Yishun,Singapore,210440,1.43621,103.83582
727,YISHUN ST 71,12,1984,YS,total_dwelling_units,132,760727,1.4264,103.831,Yishun,Singapore,210440,1.43621,103.83582
333,WOODLANDS ST 32,4,1984,WL,total_dwelling_units,16,730333,1.4298,103.7801,Woodlands,Singapore,250170,1.43585,103.78698
334,WOODLANDS ST 32,12,1984,WL,total_dwelling_units,88,730334,1.4299,103.7805,Woodlands,Singapore,250170,1.43585,103.78698
336,WOODLANDS AVE 1,10,1984,WL,total_dwelling_units,112,730336,1.4305,103.7818,Woodlands,Singapore,250170,1.43585,103.78698
337,WOODLANDS AVE 1,12,1984,WL,total_dwelling_units,88,730337,1.4308,103.7817,Woodlands,Singapore,250170,1.43585,103.78698
402,HOUGANG AVE 10,13,1984,HG,total_dwelling_units,96,530402,1.3743,103.8967,Hougang,Singapore,224390,1.37114,103.89144
403,HOUGANG AVE 10,4,1984,HG,total_dwelling_units,40,530403,1.3746,103.8962,Hougang,Singapore,224390,1.37114,103.89144
412,HOUGANG AVE 10,4,1985,HG,total_dwelling_units,40,530412,1.3749,103.8952,Hougang,Singapore,224390,1.37114,103.89144
414,HOUGANG AVE 10,13,1984,HG,total_dwelling_units,96,530414,1.375,103.896,Hougang,Singapore,224390,1.37114,103.89144
415,HOUGANG AVE 10,10,1984,HG,total_dwelling_units,108,530415,1.3753,103.8961,Hougang,Singapore,224390,1.37114,103.89144
416,HOUGANG AVE 10,10,1984,HG,total_dwelling_units,96,530416,1.3753,103.896,Hougang,Singapore,224390,1.37114,103.89144
404,HOUGANG AVE 10,4,1984,HG,total_dwelling_units,40,530404,1.3739,103.8956,Hougang,Singapore,224390,1.37114,103.89144
405,HOUGANG AVE 10,13,1984,HG,total_dwelling_units,96,530405,1.3742,103.8964,Hougang,Singapore,224390,1.37114,103.89144
406,HOUGANG AVE 10,13,1984,HG,total_dwelling_units,96,530406,1.3735,103.8962,Hougang,Singapore,224390,1.37114,103.89144
407,HOUGANG AVE 10,13,1984,HG,total_dwelling_units,84,530407,1.3732,103.8958,Hougang,Singapore,224390,1.37114,103.89144
409,HOUGANG AVE 10,13,1984,HG,total_dwelling_units,96,530409,1.3742,103.8951,Hougang,Singapore,224390,1.37114,103.89144
410,HOUGANG AVE 10,4,1984,HG,total_dwelling_units,40,530410,1.374,103.8944,Hougang,Singapore,224390,1.37114,103.89144
411,HOUGANG AVE 10,13,1984,HG,total_dwelling_units,96,530411,1.374,103.8953,Hougang,Singapore,224390,1.37114,103.89144
106,BT BATOK CTRL,8,1984,BB,total_dwelling_units,100,650106,1.3484,103.7469,Bukit Batok,Singapore,139270,1.3494,103.7527
107,BT BATOK WEST AVE 6,10,1984,BB,total_dwelling_units,81,650107,1.3477,103.7467,Bukit Batok,Singapore,139270,1.3494,103.7527
258,BT BATOK EAST AVE 4,12,1984,BB,total_dwelling_units,110,650258,1.3512,103.7589,Bukit Batok,Singapore,139270,1.3494,103.7527
260,BT BATOK EAST AVE 4,12,1984,BB,total_dwelling_units,110,650260,1.3511,103.759,Bukit Batok,Singapore,139270,1.3494,103.7527
263,BT BATOK EAST AVE 4,12,1984,BB,total_dwelling_units,110,650263,1.3502,103.7591,Bukit Batok,Singapore,139270,1.3494,103.7527
264,BT BATOK EAST AVE 4,12,1984,BB,total_dwelling_units,110,650264,1.3501,103.759,Bukit Batok,Singapore,139270,1.3494,103.7527
308,SERANGOON AVE 2,9,1984,SGN,total_dwelling_units,80,550308,1.3542,103.8656,Serangoon,Singapore,120670,1.35554,103.8766
309,SERANGOON AVE 2,9,1984,SGN,total_dwelling_units,80,550309,1.3538,103.8649,Serangoon,Singapore,120670,1.35554,103.8766
311,SERANGOON AVE 2,4,1984,SGN,total_dwelling_units,24,550311,1.3538,103.8662,Serangoon,Singapore,120670,1.35554,103.8766
312,SERANGOON AVE 2,12,1984,SGN,total_dwelling_units,88,550312,1.3534,103.8657,Serangoon,Singapore,120670,1.35554,103.8766
313,SERANGOON AVE 2,4,1984,SGN,total_dwelling_units,16,550313,1.3538,103.865,Serangoon,Singapore,120670,1.35554,103.8766
314,SERANGOON AVE 2,4,1984,SGN,total_dwelling_units,16,550314,1.3533,103.8654,Serangoon,Singapore,120670,1.35554,103.8766
316,SERANGOON AVE 2,4,1984,SGN,total_dwelling_units,8,550316,1.3530000000000002,103.8664,Serangoon,Singapore,120670,1.35554,103.8766
317,SERANGOON AVE 2,15,1984,SGN,total_dwelling_units,81,550317,1.3528,103.8661,Serangoon,Singapore,120670,1.35554,103.8766
447,TAMPINES ST 42,4,1984,TAP,total_dwelling_units,32,520447,1.3572,103.9503,Tampines,Singapore,258310,1.36819,103.92948
403,TAMPINES ST 41,12,1984,TAP,total_dwelling_units,112,520403,1.3576,103.9449,Tampines,Singapore,258310,1.36819,103.92948
405,TAMPINES ST 41,12,1984,TAP,total_dwelling_units,113,520405,1.3579,103.9449,Tampines,Singapore,258310,1.36819,103.92948
407,TAMPINES ST 41,12,1984,TAP,total_dwelling_units,123,520407,1.358,103.945,Tampines,Singapore,258310,1.36819,103.92948
408,TAMPINES ST 41,12,1984,TAP,total_dwelling_units,139,520408,1.3589,103.9452,Tampines,Singapore,258310,1.36819,103.92948
231,SERANGOON AVE 3,12,1984,SGN,total_dwelling_units,88,550231,1.3549,103.8685,Serangoon,Singapore,120670,1.35554,103.8766
232,SERANGOON AVE 3,12,1984,SGN,total_dwelling_units,88,550232,1.3549,103.8688,Serangoon,Singapore,120670,1.35554,103.8766
234,SERANGOON AVE 3,12,1984,SGN,total_dwelling_units,88,550234,1.3549,103.8696,Serangoon,Singapore,120670,1.35554,103.8766
235,SERANGOON AVE 3,12,1984,SGN,total_dwelling_units,88,550235,1.3547,103.8701,Serangoon,Singapore,120670,1.35554,103.8766
236,SERANGOON AVE 3,11,1984,SGN,total_dwelling_units,100,550236,1.3541,103.87,Serangoon,Singapore,120670,1.35554,103.8766
239,SERANGOON AVE 2,12,1984,SGN,total_dwelling_units,88,550239,1.3533,103.8682,Serangoon,Singapore,120670,1.35554,103.8766
240,SERANGOON AVE 2,12,1984,SGN,total_dwelling_units,88,550240,1.3535,103.8697,Serangoon,Singapore,120670,1.35554,103.8766
343,UBI AVE 1,12,1985,GL,total_dwelling_units,114,400343,1.3267,103.9004,Geylang,Singapore,116960,1.3205559999999998,103.886944
345,UBI AVE 1,4,1985,GL,total_dwelling_units,16,400345,1.3259,103.899,Geylang,Singapore,116960,1.3205559999999998,103.886944
346,UBI AVE 1,13,1985,GL,total_dwelling_units,96,400346,1.3261,103.8997,Geylang,Singapore,116960,1.3205559999999998,103.886944
347,UBI AVE 1,13,1985,GL,total_dwelling_units,96,400347,1.3255,103.8997,Geylang,Singapore,116960,1.3205559999999998,103.886944
348,UBI AVE 1,12,1985,GL,total_dwelling_units,114,400348,1.3263,103.9006,Geylang,Singapore,116960,1.3205559999999998,103.886944
349,UBI AVE 1,12,1985,GL,total_dwelling_units,114,400349,1.3259,103.9005,Geylang,Singapore,116960,1.3205559999999998,103.886944
338,UBI AVE 1,12,1985,GL,total_dwelling_units,114,400338,1.3262,103.902,Geylang,Singapore,116960,1.3205559999999998,103.886944
339,UBI AVE 1,12,1985,GL,total_dwelling_units,114,400339,1.3266,103.902,Geylang,Singapore,116960,1.3205559999999998,103.886944
341,UBI AVE 1,11,1985,GL,total_dwelling_units,124,400341,1.3267,103.9018,Geylang,Singapore,116960,1.3205559999999998,103.886944
313,UBI AVE 1,12,1985,GL,total_dwelling_units,115,400313,1.3292,103.9039,Geylang,Singapore,116960,1.3205559999999998,103.886944
315,UBI AVE 1,11,1985,GL,total_dwelling_units,124,400315,1.3294,103.9031,Geylang,Singapore,116960,1.3205559999999998,103.886944
318,UBI AVE 1,12,1985,GL,total_dwelling_units,115,400318,1.3286,103.9033,Geylang,Singapore,116960,1.3205559999999998,103.886944
319,UBI AVE 1,12,1984,GL,total_dwelling_units,115,400319,1.3281,103.9036,Geylang,Singapore,116960,1.3205559999999998,103.886944
320,UBI AVE 1,12,1984,GL,total_dwelling_units,115,400320,1.3286,103.9043,Geylang,Singapore,116960,1.3205559999999998,103.886944
220,YISHUN ST 21,8,1984,YS,total_dwelling_units,116,760220,1.4334,103.8354,Yishun,Singapore,210440,1.43621,103.83582
222,YISHUN ST 21,12,1984,YS,total_dwelling_units,101,760222,1.4342,103.8357,Yishun,Singapore,210440,1.43621,103.83582
224,YISHUN ST 21,10,1984,YS,total_dwelling_units,97,760224,1.4345,103.8352,Yishun,Singapore,210440,1.43621,103.83582
225,YISHUN ST 21,12,1984,YS,total_dwelling_units,100,760225,1.4347,103.8359,Yishun,Singapore,210440,1.43621,103.83582
226,YISHUN ST 21,4,1984,YS,total_dwelling_units,24,760226,1.4344,103.8361,Yishun,Singapore,210440,1.43621,103.83582
228,YISHUN ST 21,10,1984,YS,total_dwelling_units,103,760228,1.4352,103.8375,Yishun,Singapore,210440,1.43621,103.83582
229,YISHUN ST 21,12,1984,YS,total_dwelling_units,88,760229,1.4348,103.8372,Yishun,Singapore,210440,1.43621,103.83582
230,YISHUN ST 21,4,1984,YS,total_dwelling_units,24,760230,1.4346,103.8367,Yishun,Singapore,210440,1.43621,103.83582
231,YISHUN ST 21,12,1984,YS,total_dwelling_units,88,760231,1.4342,103.8369,Yishun,Singapore,210440,1.43621,103.83582
234,YISHUN ST 21,12,1984,YS,total_dwelling_units,117,760234,1.4345,103.8379,Yishun,Singapore,210440,1.43621,103.83582
237,YISHUN RING RD,12,1984,YS,total_dwelling_units,102,760237,1.4332,103.8391,Yishun,Singapore,210440,1.43621,103.83582
240,YISHUN RING RD,12,1984,YS,total_dwelling_units,110,760240,1.433,103.8395,Yishun,Singapore,210440,1.43621,103.83582
242,YISHUN RING RD,10,1984,YS,total_dwelling_units,139,760242,1.4332,103.8405,Yishun,Singapore,210440,1.43621,103.83582
754,YISHUN ST 72,12,1985,YS,total_dwelling_units,110,760754,1.4269999999999998,103.8341,Yishun,Singapore,210440,1.43621,103.83582
756,YISHUN ST 72,12,1984,YS,total_dwelling_units,136,760756,1.4267,103.8333,Yishun,Singapore,210440,1.43621,103.83582
762,YISHUN ST 72,12,1985,YS,total_dwelling_units,114,760762,1.4258,103.8341,Yishun,Singapore,210440,1.43621,103.83582
764,YISHUN ST 72,12,1985,YS,total_dwelling_units,110,760764,1.4255,103.834,Yishun,Singapore,210440,1.43621,103.83582
765,YISHUN ST 72,12,1985,YS,total_dwelling_units,114,760765,1.4252,103.8341,Yishun,Singapore,210440,1.43621,103.83582
243,YISHUN RING RD,10,1984,YS,total_dwelling_units,130,760243,1.4337,103.8406,Yishun,Singapore,210440,1.43621,103.83582
256,YISHUN RING RD,4,1984,YS,total_dwelling_units,15,760256,1.4342,103.84,Yishun,Singapore,210440,1.43621,103.83582
257,YISHUN RING RD,10,1985,YS,total_dwelling_units,90,760257,1.4347,103.8396,Yishun,Singapore,210440,1.43621,103.83582
258,YISHUN ST 22,4,1984,YS,total_dwelling_units,14,760258,1.4352,103.8399,Yishun,Singapore,210440,1.43621,103.83582
259,YISHUN ST 22,10,1985,YS,total_dwelling_units,90,760259,1.4351,103.8391,Yishun,Singapore,210440,1.43621,103.83582
263,YISHUN ST 22,12,1985,YS,total_dwelling_units,104,760263,1.4361,103.8392,Yishun,Singapore,210440,1.43621,103.83582
264,YISHUN ST 22,12,1985,YS,total_dwelling_units,110,760264,1.4357,103.8385,Yishun,Singapore,210440,1.43621,103.83582
265,YISHUN ST 22,11,1985,YS,total_dwelling_units,154,760265,1.4367,103.8385,Yishun,Singapore,210440,1.43621,103.83582
267,YISHUN ST 22,4,1984,YS,total_dwelling_units,32,760267,1.4373,103.8392,Yishun,Singapore,210440,1.43621,103.83582
268,YISHUN ST 22,4,1984,YS,total_dwelling_units,32,760268,1.4367,103.8397,Yishun,Singapore,210440,1.43621,103.83582
271,YISHUN ST 22,4,1984,YS,total_dwelling_units,32,760271,1.4378,103.8402,Yishun,Singapore,210440,1.43621,103.83582
272,YISHUN ST 22,12,1985,YS,total_dwelling_units,114,760272,1.4380000000000002,103.8397,Yishun,Singapore,210440,1.43621,103.83582
277,YISHUN ST 22,11,1985,YS,total_dwelling_units,70,760277,1.4380000000000002,103.8371,Yishun,Singapore,210440,1.43621,103.83582
281,YISHUN ST 22,4,1985,YS,total_dwelling_units,16,760281,1.439,103.8376,Yishun,Singapore,210440,1.43621,103.83582
282,YISHUN AVE 6,4,1985,YS,total_dwelling_units,24,760282,1.4394,103.8384,Yishun,Singapore,210440,1.43621,103.83582
288,YISHUN AVE 6,12,1985,YS,total_dwelling_units,136,760288,1.4397,103.8374,Yishun,Singapore,210440,1.43621,103.83582
289,YISHUN AVE 6,12,1985,YS,total_dwelling_units,136,760289,1.4402,103.8387,Yishun,Singapore,210440,1.43621,103.83582
107,BISHAN ST 12,13,1985,BH,total_dwelling_units,96,570107,1.3464,103.8479,Bishan,Singapore,90700,1.3486200000000002,103.849508
109,BISHAN ST 12,13,1985,BH,total_dwelling_units,96,570109,1.3466,103.848,Bishan,Singapore,90700,1.3486200000000002,103.849508
113,BISHAN ST 12,12,1985,BH,total_dwelling_units,110,570113,1.3472,103.8488,Bishan,Singapore,90700,1.3486200000000002,103.849508
114,BISHAN ST 12,12,1985,BH,total_dwelling_units,110,570114,1.3475,103.8488,Bishan,Singapore,90700,1.3486200000000002,103.849508
534,BEDOK NTH ST 3,13,1980,BD,total_dwelling_units,352,460534,1.3333,103.9246,Bedok,Singapore,289750,1.32805,103.95011
535,BEDOK NTH ST 3,13,1980,BD,total_dwelling_units,167,460535,1.3325,103.9235,Bedok,Singapore,289750,1.32805,103.95011
266,BT BATOK EAST AVE 4,12,1985,BB,total_dwelling_units,112,650266,1.3493,103.7601,Bukit Batok,Singapore,139270,1.3494,103.7527
267,BT BATOK EAST AVE 4,11,1985,BB,total_dwelling_units,143,650267,1.3489,103.76,Bukit Batok,Singapore,139270,1.3494,103.7527
268,BT BATOK EAST AVE 4,12,1985,BB,total_dwelling_units,88,650268,1.3492,103.7592,Bukit Batok,Singapore,139270,1.3494,103.7527
312,BT BATOK ST 32,12,1984,BB,total_dwelling_units,132,650312,1.36,103.7473,Bukit Batok,Singapore,139270,1.3494,103.7527
313,BT BATOK ST 32,12,1984,BB,total_dwelling_units,132,650313,1.3601,103.7478,Bukit Batok,Singapore,139270,1.3494,103.7527
316,BT BATOK ST 32,12,1984,BB,total_dwelling_units,132,650316,1.3605,103.7468,Bukit Batok,Singapore,139270,1.3494,103.7527
318,BT BATOK ST 32,12,1984,BB,total_dwelling_units,132,650318,1.3608,103.74700000000001,Bukit Batok,Singapore,139270,1.3494,103.7527
321,BT BATOK ST 33,12,1984,BB,total_dwelling_units,132,650321,1.3612,103.7473,Bukit Batok,Singapore,139270,1.3494,103.7527
322,BT BATOK ST 33,12,1984,BB,total_dwelling_units,132,650322,1.3616,103.7475,Bukit Batok,Singapore,139270,1.3494,103.7527
360,BT BATOK ST 31,12,1985,BB,total_dwelling_units,110,650360,1.3612,103.7506,Bukit Batok,Singapore,139270,1.3494,103.7527
361,BT BATOK ST 31,12,1985,BB,total_dwelling_units,110,650361,1.3609,103.7509,Bukit Batok,Singapore,139270,1.3494,103.7527
363,BT BATOK ST 31,12,1985,BB,total_dwelling_units,132,650363,1.3612,103.7494,Bukit Batok,Singapore,139270,1.3494,103.7527
364,BT BATOK ST 31,12,1985,BB,total_dwelling_units,110,650364,1.3608,103.7493,Bukit Batok,Singapore,139270,1.3494,103.7527
367,BT BATOK ST 31,12,1985,BB,total_dwelling_units,110,650367,1.3604,103.7497,Bukit Batok,Singapore,139270,1.3494,103.7527
368,BT BATOK ST 31,12,1985,BB,total_dwelling_units,132,650368,1.3605,103.7509,Bukit Batok,Singapore,139270,1.3494,103.7527
302,BT BATOK ST 31,4,1984,BB,total_dwelling_units,24,650302,1.357,103.7484,Bukit Batok,Singapore,139270,1.3494,103.7527
303,BT BATOK ST 31,4,1984,BB,total_dwelling_units,32,650303,1.3576,103.7481,Bukit Batok,Singapore,139270,1.3494,103.7527
306,BT BATOK ST 31,4,1984,BB,total_dwelling_units,32,650306,1.3584,103.7477,Bukit Batok,Singapore,139270,1.3494,103.7527
309,BT BATOK ST 31,4,1984,BB,total_dwelling_units,40,650309,1.3583,103.7487,Bukit Batok,Singapore,139270,1.3494,103.7527
422,TAMPINES ST 41,4,1984,TAP,total_dwelling_units,32,520422,1.3579,103.947,Tampines,Singapore,258310,1.36819,103.92948
603,HOUGANG AVE 4,10,1985,HG,total_dwelling_units,108,530603,1.3714,103.88600000000001,Hougang,Singapore,224390,1.37114,103.89144
604,HOUGANG AVE 4,4,1985,HG,total_dwelling_units,16,530604,1.371,103.8858,Hougang,Singapore,224390,1.37114,103.89144
605,HOUGANG AVE 4,12,1985,HG,total_dwelling_units,110,530605,1.3711,103.8865,Hougang,Singapore,224390,1.37114,103.89144
606,HOUGANG AVE 4,13,1985,HG,total_dwelling_units,96,530606,1.3706,103.8859,Hougang,Singapore,224390,1.37114,103.89144
608,HOUGANG AVE 4,4,1985,HG,total_dwelling_units,32,530608,1.3707,103.8855,Hougang,Singapore,224390,1.37114,103.89144
613,HOUGANG AVE 8,12,1985,HG,total_dwelling_units,110,530613,1.3695,103.8847,Hougang,Singapore,224390,1.37114,103.89144
614,HOUGANG AVE 8,12,1985,HG,total_dwelling_units,110,530614,1.3691,103.8846,Hougang,Singapore,224390,1.37114,103.89144
618,HOUGANG AVE 8,4,1985,HG,total_dwelling_units,24,530618,1.3695,103.8842,Hougang,Singapore,224390,1.37114,103.89144
10,ST. GEORGE'S RD,4,1984,KWN,total_dwelling_units,12,320010,1.3237,103.8633,Kallang,Singapore,101210,1.31083,103.86556
11,ST. GEORGE'S RD,12,1984,KWN,total_dwelling_units,114,320011,1.3231,103.8632,Kallang,Singapore,101210,1.31083,103.86556
12,ST. GEORGE'S RD,4,1984,KWN,total_dwelling_units,10,320012,1.3229,103.8629,Kallang,Singapore,101210,1.31083,103.86556
619,HOUGANG AVE 8,12,1985,HG,total_dwelling_units,130,530619,1.37,103.8837,Hougang,Singapore,224390,1.37114,103.89144
623,HOUGANG AVE 8,12,1985,HG,total_dwelling_units,132,530623,1.3704,103.8823,Hougang,Singapore,224390,1.37114,103.89144
409,JURONG WEST ST 42,13,1985,JW,total_dwelling_units,84,640409,1.354,103.7253,Jurong West,Singapore,267840,1.3445,103.706817
410,JURONG WEST ST 42,11,1984,JW,total_dwelling_units,80,640410,1.3536,103.7264,Jurong West,Singapore,267840,1.3445,103.706817
412,JURONG WEST ST 42,12,1984,JW,total_dwelling_units,132,640412,1.3537,103.7259,Jurong West,Singapore,267840,1.3445,103.706817
410,TAMPINES ST 41,12,1984,TAP,total_dwelling_units,130,520410,1.3589,103.9463,Tampines,Singapore,258310,1.36819,103.92948
411,TAMPINES ST 41,12,1984,TAP,total_dwelling_units,103,520411,1.359,103.9463,Tampines,Singapore,258310,1.36819,103.92948
412,TAMPINES ST 41,12,1984,TAP,total_dwelling_units,107,520412,1.3596,103.9463,Tampines,Singapore,258310,1.36819,103.92948
417,TAMPINES ST 41,12,1984,TAP,total_dwelling_units,150,520417,1.3589,103.9473,Tampines,Singapore,258310,1.36819,103.92948
284,YISHUN AVE 6,12,1984,YS,total_dwelling_units,110,760284,1.4398,103.8387,Yishun,Singapore,210440,1.43621,103.83582
286,YISHUN AVE 6,12,1984,YS,total_dwelling_units,110,760286,1.44,103.8388,Yishun,Singapore,210440,1.43621,103.83582
266,YISHUN ST 22,12,1985,YS,total_dwelling_units,110,760266,1.4369,103.8388,Yishun,Singapore,210440,1.43621,103.83582
270,YISHUN ST 22,12,1985,YS,total_dwelling_units,110,760270,1.4376,103.8399,Yishun,Singapore,210440,1.43621,103.83582
273,YISHUN ST 22,12,1985,YS,total_dwelling_units,110,760273,1.4376,103.8397,Yishun,Singapore,210440,1.43621,103.83582
101,BEDOK RESERVOIR RD,12,1985,BD,total_dwelling_units,110,470101,1.3289,103.9097,Bedok,Singapore,289750,1.32805,103.95011
102,BEDOK RESERVOIR RD,4,1985,BD,total_dwelling_units,24,470102,1.3284,103.9092,Bedok,Singapore,289750,1.32805,103.95011
104,BEDOK RESERVOIR RD,15,1985,BD,total_dwelling_units,84,470104,1.3294,103.9089,Bedok,Singapore,289750,1.32805,103.95011
105,BEDOK RESERVOIR RD,12,1985,BD,total_dwelling_units,110,470105,1.329,103.9091,Bedok,Singapore,289750,1.32805,103.95011
106,BEDOK RESERVOIR RD,12,1985,BD,total_dwelling_units,110,470106,1.3294,103.9093,Bedok,Singapore,289750,1.32805,103.95011
107,BEDOK RESERVOIR RD,13,1985,BD,total_dwelling_units,120,470107,1.3298,103.9092,Bedok,Singapore,289750,1.32805,103.95011
109,BEDOK RESERVOIR RD,4,1985,BD,total_dwelling_units,32,470109,1.3293,103.9097,Bedok,Singapore,289750,1.32805,103.95011
110,BEDOK RESERVOIR RD,12,1985,BD,total_dwelling_units,88,470110,1.33,103.9106,Bedok,Singapore,289750,1.32805,103.95011
111,BEDOK RESERVOIR RD,4,1985,BD,total_dwelling_units,16,470111,1.3303,103.9101,Bedok,Singapore,289750,1.32805,103.95011
113,BEDOK RESERVOIR RD,4,1985,BD,total_dwelling_units,79,470113,1.3305,103.9106,Bedok,Singapore,289750,1.32805,103.95011
114,BEDOK RESERVOIR RD,13,1985,BD,total_dwelling_units,84,470114,1.3305,103.9098,Bedok,Singapore,289750,1.32805,103.95011
115,BEDOK RESERVOIR RD,13,1985,BD,total_dwelling_units,72,470115,1.3306,103.9087,Bedok,Singapore,289750,1.32805,103.95011
116,BEDOK RESERVOIR RD,13,1985,BD,total_dwelling_units,118,470116,1.3309,103.9086,Bedok,Singapore,289750,1.32805,103.95011
118,BEDOK RESERVOIR RD,4,1985,BD,total_dwelling_units,32,470118,1.3317,103.9092,Bedok,Singapore,289750,1.32805,103.95011
119,BEDOK RESERVOIR RD,4,1985,BD,total_dwelling_units,32,470119,1.3305,103.9094,Bedok,Singapore,289750,1.32805,103.95011
120,BEDOK RESERVOIR RD,12,1985,BD,total_dwelling_units,88,470120,1.331,103.9099,Bedok,Singapore,289750,1.32805,103.95011
339,BT BATOK ST 34,12,1985,BB,total_dwelling_units,132,650339,1.3633,103.7505,Bukit Batok,Singapore,139270,1.3494,103.7527
340,BT BATOK ST 34,12,1985,BB,total_dwelling_units,110,650340,1.3633,103.7495,Bukit Batok,Singapore,139270,1.3494,103.7527
341,BT BATOK ST 34,12,1985,BB,total_dwelling_units,132,650341,1.3627,103.7492,Bukit Batok,Singapore,139270,1.3494,103.7527
343,BT BATOK ST 34,12,1985,BB,total_dwelling_units,132,650343,1.3626,103.7491,Bukit Batok,Singapore,139270,1.3494,103.7527
345,BT BATOK ST 34,12,1985,BB,total_dwelling_units,110,650345,1.3630000000000002,103.7508,Bukit Batok,Singapore,139270,1.3494,103.7527
346,BT BATOK ST 34,12,1985,BB,total_dwelling_units,110,650346,1.3626,103.7505,Bukit Batok,Singapore,139270,1.3494,103.7527
846,TAMPINES ST 82,12,1985,TAP,total_dwelling_units,110,520846,1.3522,103.936,Tampines,Singapore,258310,1.36819,103.92948
848,TAMPINES ST 82,12,1985,TAP,total_dwelling_units,110,520848,1.3524,103.9359,Tampines,Singapore,258310,1.36819,103.92948
852,TAMPINES ST 82,12,1984,TAP,total_dwelling_units,110,520852,1.3526,103.9365,Tampines,Singapore,258310,1.36819,103.92948
854,TAMPINES ST 82,12,1985,TAP,total_dwelling_units,110,520854,1.3529,103.9366,Tampines,Singapore,258310,1.36819,103.92948
850,TAMPINES ST 82,4,1985,TAP,total_dwelling_units,32,520850,1.3530000000000002,103.9361,Tampines,Singapore,258310,1.36819,103.92948
314,BT BATOK ST 32,4,1985,BB,total_dwelling_units,16,650314,1.3602,103.7468,Bukit Batok,Singapore,139270,1.3494,103.7527
319,BT BATOK ST 33,9,1985,BB,total_dwelling_units,116,650319,1.3612,103.7465,Bukit Batok,Singapore,139270,1.3494,103.7527
320,BT BATOK ST 33,4,1985,BB,total_dwelling_units,16,650320,1.3613,103.7468,Bukit Batok,Singapore,139270,1.3494,103.7527
44,TEBAN GDNS RD,12,1985,JE,total_dwelling_units,110,600044,1.3209,103.7415,Jurong East,Singapore,84980,1.34992,103.72879
47,TEBAN GDNS RD,12,1985,JE,total_dwelling_units,110,600047,1.3203,103.7398,Jurong East,Singapore,84980,1.34992,103.72879
48,TEBAN GDNS RD,12,1985,JE,total_dwelling_units,110,600048,1.3204,103.74,Jurong East,Singapore,84980,1.34992,103.72879
310,BT BATOK ST 32,4,1985,BB,total_dwelling_units,32,650310,1.3597,103.749,Bukit Batok,Singapore,139270,1.3494,103.7527
